#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1763579366520386816,0.074828,0.728701,2.067188,-0.663070,0.712463,-0.174664,0.149090
1763579368070759424,-0.115579,0.237771,1.591163,-0.754604,0.648470,-0.061181,0.079469
1763579368370498048,-0.137617,0.141580,1.538379,-0.749523,0.661367,-0.017250,0.022620
1763579369420495872,-0.089655,-0.135665,1.292077,0.767341,-0.634965,-0.032243,0.083477
1763579369470628608,-0.087256,-0.145150,1.280967,0.766869,-0.635523,-0.035997,0.082018
1763579369971235072,-0.065135,-0.240844,1.160601,0.768125,-0.620467,-0.080550,0.136074
1763579370271299584,-0.044050,-0.323697,1.106096,0.760582,-0.609421,-0.121243,0.188207
1763579371071388416,-0.014214,-0.472793,0.967720,0.769515,-0.580443,-0.140365,0.226341
1763579373422606592,-0.086550,-0.648821,1.043131,0.554299,-0.753202,-0.270732,0.228352
1763579377673114880,-0.162727,-0.469727,1.900506,0.604320,-0.785252,-0.045584,0.126879
1763579378723117568,-0.185401,-0.040758,1.810896,0.588191,-0.808011,-0.001491,0.033891
1763579379021804032,-0.162747,0.025574,1.803717,0.593723,-0.802686,0.052354,0.021150
1763579379121769984,-0.155947,0.053883,1.807797,0.591609,-0.803110,0.069972,0.010804
1763579379520168192,-0.141304,0.256881,1.835208,-0.575509,0.808394,-0.119807,0.030559
1763579387620662784,-0.110216,0.254874,2.211331,0.862497,-0.492930,0.110778,0.029115
1763579387920120832,-0.112183,0.128995,2.243084,0.852535,-0.506681,0.108076,0.069129
1763579388470414848,-0.145137,-0.046453,2.236441,0.858225,-0.500744,0.058404,0.096406
1763579389020465664,-0.210264,-0.114684,2.192695,0.833828,-0.549494,0.008969,0.052035
1763579389070296064,-0.215634,-0.121973,2.188439,0.830089,-0.555268,0.001665,0.051253
1763579389370530560,-0.259965,-0.183740,2.167858,0.811211,-0.580560,-0.052239,0.046457
1763579395274195968,-0.138857,-1.197123,1.544288,0.659610,-0.671583,-0.172253,0.290206
1763579397122603520,-0.057948,-0.432737,1.102854,0.632573,-0.755807,-0.067815,0.154950
1763579397373336320,-0.058892,-0.359569,1.048197,0.640272,-0.750503,-0.024569,0.161843
1763579397823220480,-0.104381,-0.258836,0.972314,0.672476,-0.718326,0.008301,0.178086
1763579397922885632,-0.126404,-0.237073,0.958544,0.678520,-0.712748,0.010884,0.177432
1763579398623459328,-0.260013,-0.059354,0.933380,0.690887,-0.710459,0.077191,0.109386
1763579398723542528,-0.281868,-0.031288,0.936487,0.694655,-0.707127,0.096413,0.090170
1763579398822225664,-0.296359,-0.000942,0.936619,0.694005,-0.707989,0.103356,0.080155
1763579398923149568,-0.298689,0.031204,0.933047,0.695007,-0.706461,0.106114,0.081345
1763579399023665920,-0.297882,0.056336,0.924926,0.697576,-0.702224,0.113515,0.085932
1763579399073176832,-0.298175,0.065697,0.919483,0.696301,-0.703007,0.115749,0.086883
1763579399122724864,-0.298742,0.073325,0.913116,0.694310,-0.705029,0.115599,0.086625
