# t,tx,ty,tz,rx,ry,rz
1.763579365280213833e+09,3.200111201436425801e-01,-3.571596108683441351e-01,1.842579532755070915e+00,1.845716880734081133e+00,-2.468817063809091827e+00,-1.391571268016180384e-02
1.763579365320213795e+09,3.200111201436425801e-01,-3.571596108683441351e-01,1.842579532755070915e+00,1.845716880734081133e+00,-2.468817063809091827e+00,-1.391571268016180384e-02
1.763579365370402098e+09,2.918271800386793569e-01,-3.660681073230135363e-01,1.814432656674783040e+00,1.844179302685043931e+00,-2.455689143148955367e+00,-1.491760748006130261e-02
1.763579365470436573e+09,2.719937857089109179e-01,-4.073978111157867676e-01,1.768487801835945561e+00,1.857512708753320307e+00,-2.446740267450858930e+00,-2.975422577666157753e-02
1.763579365520395994e+09,2.412926394999784230e-01,-4.582883282869253949e-01,1.757312434252426669e+00,1.852297525332196493e+00,-2.420778434771362342e+00,-2.565191781286278380e-02
1.763579365570331335e+09,2.605662528816126700e-01,-4.404645234686185851e-01,1.735683117097282402e+00,1.873208742770890778e+00,-2.422455004793580002e+00,-9.155704190764795206e-03
1.763579365620255947e+09,3.251567326639167588e-01,-4.159342675876669948e-01,1.748298841456403130e+00,1.910724575610416309e+00,-2.437754429257864341e+00,-1.481781057206748263e-02
1.763579365670621872e+09,2.654576741530782491e-01,-4.676639461232781070e-01,1.686293259747979389e+00,1.888648059942126256e+00,-2.391779172954034305e+00,-3.787304351728436325e-02
1.763579365720834494e+09,2.623099620051720926e-01,-4.368955770280395501e-01,1.683056308676522006e+00,1.914107288903977633e+00,-2.385516086338201447e+00,-1.752477073559827528e-02
1.763579365770913363e+09,2.948226762608711637e-01,-4.348242008802375436e-01,1.669442307285663896e+00,1.943279554333164683e+00,-2.393327924488694247e+00,-2.944891883165369484e-02
1.763579365820717573e+09,2.934099926119524415e-01,-4.674364981229162663e-01,1.631479504515717105e+00,1.945485144312886217e+00,-2.394998861145145597e+00,-5.486983439508894000e-02
1.763579365870564461e+09,2.169710213498456663e-01,-4.790197768729913541e-01,1.618317610867154865e+00,1.927671847660613391e+00,-2.383834290084251517e+00,-2.119545999391704572e-02
1.763579365920380831e+09,2.507169891121541205e-01,-5.078941764030120432e-01,1.578136472649439570e+00,1.953138556966355077e+00,-2.375773824647066768e+00,-6.555082271100728941e-02
1.763579365970483065e+09,2.376857051239450458e-01,-4.711789659377347839e-01,1.602647831104927700e+00,1.977834686303967526e+00,-2.371349049602748504e+00,-2.392994785591541843e-02
1.763579366020317793e+09,2.711656341812762605e-01,-4.562458739484144266e-01,1.574853436173015986e+00,2.001964359810545879e+00,-2.369673175909216223e+00,-4.632882968589916578e-02
1.763579366070366383e+09,2.187470244846084766e-01,-4.492760417032193865e-01,1.549826818779327153e+00,1.988777275655351895e+00,-2.341143937245861562e+00,-3.588147039177792819e-02
1.763579366120446444e+09,1.930704266006207093e-01,-4.064539490943927524e-01,1.553979969957867802e+00,1.996477212207794505e+00,-2.335776194040314113e+00,-2.077182174673747675e-02
1.763579366170426369e+09,1.840428770792460478e-01,-3.712962217611597837e-01,1.542692327672940511e+00,2.006741797217968859e+00,-2.341174971361733359e+00,-3.001916701544952992e-02
1.763579366220409870e+09,1.753092365409347209e-01,-3.591196082942242351e-01,1.513664635525967306e+00,2.021869675344134976e+00,-2.338155588573313626e+00,-5.453035380783601005e-02
1.763579366270286560e+09,1.324259425574185467e-01,-3.550671022722962644e-01,1.500389900650342057e+00,2.025960944954569687e+00,-2.329510079384159660e+00,-5.291463079092988825e-02
1.763579366320334435e+09,1.158552028597739647e-01,-3.397377894920858288e-01,1.495395722057477839e+00,2.044055683504081067e+00,-2.330257735129823704e+00,-5.060480850605919567e-02
1.763579366370191574e+09,1.066830621970359522e-01,-3.454570436439420300e-01,1.476495819796097342e+00,2.057851272703950407e+00,-2.318592760255376639e+00,-6.460116748106407847e-02
1.763579366420135498e+09,1.201913222614384436e-01,-3.276694392431198088e-01,1.470013634415405113e+00,2.091139846327928709e+00,-2.310341277424638573e+00,-6.784017784889248559e-02
1.763579366470158339e+09,1.217584658991887198e-01,-3.158088414045987502e-01,1.445022460675676079e+00,2.108488620861000751e+00,-2.291481244496778036e+00,-6.899622665326610171e-02
1.763579366520386934e+09,1.289975909108032892e-01,-2.742460171752987286e-01,1.450093445232496947e+00,2.131197066112200389e+00,-2.281964389027711260e+00,-3.867233331798645285e-02
1.763579366570447206e+09,1.366897967942393988e-01,-2.458281303448755784e-01,1.428996483435066800e+00,2.141306998788037763e+00,-2.254450116618813116e+00,-2.456972388639985100e-02
1.763579366620527267e+09,1.820999858784650705e-01,-2.016343676978184229e-01,1.413255528872752853e+00,2.170577757977119493e+00,-2.235169581410420214e+00,-2.916488239392294249e-02
1.763579366670537472e+09,1.976861270248498614e-01,-1.457556462354420157e-01,1.403841136111008581e+00,2.184434883356207724e+00,-2.218530786083353412e+00,-1.610549860963132740e-02
1.763579366720373154e+09,7.154113493774126586e-02,4.571040478551674502e-01,1.402904699191142690e+00,2.064934696405754444e+00,-2.076521254154464202e+00,4.909263891395818646e-01
1.763579366770218372e+09,7.597156219117996712e-02,4.324837509736941255e-01,1.383930654884067968e+00,2.088183566470315888e+00,-2.100295119124395260e+00,4.501353925676120360e-01
1.763579366820035458e+09,8.620534807575111480e-02,4.050678282319108980e-01,1.370125922561388654e+00,2.111059100745542594e+00,-2.107715210268687134e+00,4.074640967758604293e-01
1.763579366870410681e+09,8.564973251348885486e-02,3.866447665238404441e-01,1.357181925410377854e+00,2.139274079877196755e+00,-2.092358273668709856e+00,3.871274733545046476e-01
1.763579366920576334e+09,9.055457051605284025e-02,3.664412677659242834e-01,1.346759971414664081e+00,2.164018486086431547e+00,-2.072303608159886235e+00,3.619522769542981577e-01
1.763579366970463037e+09,1.017161742397001273e-01,3.464285315833325885e-01,1.338957420621155636e+00,2.182877207159915844e+00,-2.044856621449486322e+00,3.371084474210163662e-01
1.763579367020390034e+09,1.041680525117199690e-01,3.057214026427941267e-01,1.332985147566171813e+00,2.218508951236511706e+00,-2.024216110000136126e+00,3.034391940765820972e-01
1.763579367070310831e+09,1.090187900076345362e-01,2.701812487692545339e-01,1.321794667617428365e+00,2.250237728361297318e+00,-2.008630497164674011e+00,2.551018649772284763e-01
1.763579367120308876e+09,9.142747640824350208e-02,2.779407280431407945e-01,1.303033112328654930e+00,2.259632393786329185e+00,-1.998353318885004892e+00,2.394099537234249675e-01
1.763579367170346737e+09,8.729786941565530201e-02,2.728611996901776915e-01,1.287297398860280717e+00,2.268550186114099088e+00,-1.986613412407296053e+00,2.076006593936677858e-01
1.763579367220308304e+09,8.639740221796282649e-02,2.438544931732501975e-01,1.276538572583188591e+00,2.296712757334119726e+00,-1.972072164055621357e+00,1.731440393183617532e-01
1.763579367270357847e+09,9.032613331114834609e-02,2.332270869994344242e-01,1.265357895347233974e+00,2.331375576070019218e+00,-1.935401537416925999e+00,1.680999367554270874e-01
