# t,tx,ty,tz,rx,ry,rz
1.763579365280213833e+09,3.239979214629048476e-01,-3.522423885922721376e-01,1.847743952243271037e+00,1.845107801539461079e+00,-2.470699359381154814e+00,-1.283032144800327033e-02
1.763579365293902636e+09,3.199024805049471842e-01,-3.545607100058537076e-01,1.843413204258425031e+00,1.845031010371244395e+00,-2.468973178423070181e+00,-1.344364950632237835e-02
1.763579365307591677e+09,3.157051062296973298e-01,-3.570049652187785583e-01,1.838950326746036312e+00,1.844969859050382244e+00,-2.467198823852169820e+00,-1.408473226660370697e-02
1.763579365321280479e+09,3.113021892066889507e-01,-3.597020376497551131e-01,1.834221468108598874e+00,1.844939901503467539e+00,-2.465327551970541098e+00,-1.478172731246396067e-02
1.763579365334969521e+09,3.066385350406661825e-01,-3.627641441437056691e-01,1.829139309883891285e+00,1.844961005255806530e+00,-2.463329731394498179e+00,-1.555751625469044275e-02
1.763579365348658323e+09,3.017962148090206909e-01,-3.662679449678857835e-01,1.823746903173324663e+00,1.845066179953975594e+00,-2.461231050422726163e+00,-1.642289721440220659e-02
1.763579365362347126e+09,2.968878823316036253e-01,-3.702766885746930359e-01,1.818117798847670441e+00,1.845290504433660050e+00,-2.459068547967566687e+00,-1.738341768452550395e-02
1.763579365376036167e+09,2.920253718410598109e-01,-3.748593944573689885e-01,1.812323174830304584e+00,1.845669903657107147e+00,-2.456879920044811705e+00,-1.844732501667374625e-02
1.763579365389724970e+09,2.872958178897164760e-01,-3.800024861543524479e-01,1.806432731562592542e+00,1.846224462841082659e+00,-2.454678218246259647e+00,-1.958539134103268534e-02
1.763579365403414011e+09,2.827576431483940778e-01,-3.856058159215858816e-01,1.800510673152470931e+00,1.846957844807060711e+00,-2.452449779201178348e+00,-2.072991948761197453e-02
1.763579365417102814e+09,2.784662048195165607e-01,-3.915595804145837189e-01,1.794622501715420482e+00,1.847871218853152087e+00,-2.450177501085233356e+00,-2.180775866139931379e-02
1.763579365430791616e+09,2.744785787951449785e-01,-3.977549137310792404e-01,1.788831993612219673e+00,1.848967253834787661e+00,-2.447846168809171719e+00,-2.274829885871952617e-02
