frame_idx,cam0_idx,cam1_idx,cam0_timestamp_sec,cam1_timestamp_sec,time_diff_ms,cam0_interval_ms,cam1_interval_ms
0,0,0,1763579364.919579,1763579364.8705716,-49.007415771484375,50.19187927246094,49.942970275878906
1,1,1,1763579364.969771,1763579364.919579,-50.19187927246094,50.6744384765625,49.007415771484375
2,2,2,1763579365.0204453,1763579364.969771,-50.6744384765625,50.41098594665527,50.19187927246094
3,3,3,1763579365.0708563,1763579365.0204453,-50.41098594665527,49.92556571960449,50.6744384765625
4,4,4,1763579365.120782,1763579365.0708563,-49.92556571960449,49.84235763549805,50.41098594665527
5,5,5,1763579365.1706243,1763579365.120782,-49.84235763549805,49.688100814819336,49.92556571960449
6,6,6,1763579365.2203124,1763579365.1706243,-49.688100814819336,49.76320266723633,49.84235763549805
7,7,7,1763579365.2700756,1763579365.2203124,-49.76320266723633,50.138235092163086,49.688100814819336
8,8,8,1763579365.3202138,1763579365.2700756,-50.138235092163086,50.188302993774414,49.76320266723633
9,9,9,1763579365.370402,1763579365.3202138,-50.188302993774414,50.0643253326416,50.138235092163086
10,10,10,1763579365.4204664,1763579365.370402,-50.0643253326416,49.970149993896484,50.188302993774414
11,11,11,1763579365.4704366,1763579365.4204664,-49.970149993896484,49.959421157836914,50.0643253326416
12,12,12,1763579365.520396,1763579365.4704366,-49.959421157836914,49.935340881347656,49.970149993896484
13,13,13,1763579365.5703313,1763579365.520396,-49.935340881347656,49.924612045288086,49.959421157836914
14,14,14,1763579365.620256,1763579365.5703313,-49.924612045288086,50.36592483520508,49.935340881347656
15,15,15,1763579365.6706219,1763579365.620256,-50.36592483520508,50.21262168884277,49.924612045288086
16,16,16,1763579365.7208345,1763579365.6706219,-50.21262168884277,50.0788688659668,50.36592483520508
17,17,17,1763579365.7709134,1763579365.7208345,-50.0788688659668,49.8042106628418,50.21262168884277
18,18,18,1763579365.8207176,1763579365.7709134,-49.8042106628418,49.84688758850098,50.0788688659668
19,19,19,1763579365.8705645,1763579365.8207176,-49.84688758850098,49.81637001037598,49.8042106628418
20,20,20,1763579365.9203808,1763579365.8705645,-49.81637001037598,50.10223388671875,49.84688758850098
21,21,21,1763579365.970483,1763579365.9203808,-50.10223388671875,49.8347282409668,49.81637001037598
22,22,22,1763579366.0203178,1763579365.970483,-49.8347282409668,50.0485897064209,50.10223388671875
23,23,23,1763579366.0703664,1763579366.0203178,-50.0485897064209,50.080060958862305,49.8347282409668
24,24,24,1763579366.1204464,1763579366.0703664,-50.080060958862305,49.97992515563965,50.0485897064209
25,25,25,1763579366.1704264,1763579366.1204464,-49.97992515563965,49.98350143432617,50.080060958862305
26,26,26,1763579366.2204099,1763579366.1704264,-49.98350143432617,49.87668991088867,49.97992515563965
27,27,27,1763579366.2702866,1763579366.2204099,-49.87668991088867,50.047874450683594,49.98350143432617
28,28,28,1763579366.3203344,1763579366.2702866,-50.047874450683594,49.857139587402344,49.87668991088867
29,29,29,1763579366.3701916,1763579366.3203344,-49.857139587402344,49.94392395019531,50.047874450683594
30,30,30,1763579366.4201355,1763579366.3701916,-49.94392395019531,50.02284049987793,49.857139587402344
31,31,31,1763579366.4701583,1763579366.4201355,-50.02284049987793,50.22859573364258,49.94392395019531
32,32,32,1763579366.520387,1763579366.4701583,-50.22859573364258,50.060272216796875,50.02284049987793
33,33,33,1763579366.5704472,1763579366.520387,-50.060272216796875,50.080060958862305,50.22859573364258
34,34,34,1763579366.6205273,1763579366.5704472,-50.080060958862305,50.01020431518555,50.060272216796875
35,35,35,1763579366.6705375,1763579366.6205273,-50.01020431518555,49.8356819152832,50.080060958862305
36,36,36,1763579366.7203732,1763579366.6705375,-49.8356819152832,49.845218658447266,50.01020431518555
37,37,37,1763579366.7702184,1763579366.7203732,-49.845218658447266,49.81708526611328,49.8356819152832
38,38,38,1763579366.8200355,1763579366.7702184,-49.81708526611328,50.37522315979004,49.845218658447266
39,39,39,1763579366.8704107,1763579366.8200355,-50.37522315979004,50.165653228759766,49.81708526611328
40,40,40,1763579366.9205763,1763579366.8704107,-50.165653228759766,49.88670349121094,50.37522315979004
41,41,41,1763579366.970463,1763579366.9205763,-49.88670349121094,49.9269962310791,50.165653228759766
42,42,42,1763579367.02039,1763579366.970463,-49.9269962310791,49.92079734802246,49.88670349121094
43,43,43,1763579367.0703108,1763579367.02039,-49.92079734802246,49.99804496765137,49.9269962310791
44,44,44,1763579367.1203089,1763579367.0703108,-49.99804496765137,50.03786087036133,49.92079734802246
45,45,45,1763579367.1703467,1763579367.1203089,-50.03786087036133,49.96156692504883,49.99804496765137
46,46,46,1763579367.2203083,1763579367.1703467,-49.96156692504883,50.049543380737305,50.03786087036133
47,47,47,1763579367.2703578,1763579367.2203083,-50.049543380737305,50.17352104187012,49.96156692504883
48,48,48,1763579367.3205314,1763579367.2703578,-50.17352104187012,50.43530464172363,50.049543380737305
49,49,49,1763579367.3709667,1763579367.3205314,-50.43530464172363,50.11153221130371,50.17352104187012
50,50,50,1763579367.4210782,1763579367.3709667,-50.11153221130371,49.811363220214844,50.43530464172363
51,51,51,1763579367.4708896,1763579367.4210782,-49.811363220214844,49.735307693481445,50.11153221130371
52,52,52,1763579367.5206249,1763579367.4708896,-49.735307693481445,49.964189529418945,49.811363220214844
53,53,53,1763579367.570589,1763579367.5206249,-49.964189529418945,49.87525939941406,49.735307693481445
54,54,54,1763579367.6204643,1763579367.570589,-49.87525939941406,49.722909927368164,49.964189529418945
55,55,55,1763579367.6701872,1763579367.6204643,-49.722909927368164,49.87597465515137,49.87525939941406
56,56,56,1763579367.7200632,1763579367.6701872,-49.87597465515137,50.18806457519531,49.722909927368164
57,57,57,1763579367.7702513,1763579367.7200632,-50.18806457519531,50.128936767578125,49.87597465515137
58,58,58,1763579367.8203802,1763579367.7702513,-50.128936767578125,49.97086524963379,50.18806457519531
59,59,59,1763579367.870351,1763579367.8203802,-49.97086524963379,49.94916915893555,50.128936767578125
60,60,60,1763579367.9203002,1763579367.870351,-49.94916915893555,50.47106742858887,49.97086524963379
61,61,61,1763579367.9707713,1763579367.9203002,-50.47106742858887,50.17900466918945,49.94916915893555
62,62,62,1763579368.0209503,1763579367.9707713,-50.17900466918945,49.80921745300293,50.47106742858887
63,63,63,1763579368.0707595,1763579368.0209503,-49.80921745300293,49.61442947387695,50.17900466918945
64,64,64,1763579368.120374,1763579368.0707595,-49.61442947387695,49.82900619506836,49.80921745300293
65,65,65,1763579368.170203,1763579368.120374,-49.82900619506836,50.005435943603516,49.61442947387695
66,66,66,1763579368.2202084,1763579368.170203,-50.005435943603516,50.23336410522461,49.82900619506836
67,67,67,1763579368.2704418,1763579368.2202084,-50.23336410522461,50.132036209106445,50.005435943603516
68,68,68,1763579368.3205738,1763579368.2704418,-50.132036209106445,49.92413520812988,50.23336410522461
69,69,69,1763579368.370498,1763579368.3205738,-49.92413520812988,49.93486404418945,50.132036209106445
70,70,70,1763579368.4204328,1763579368.370498,-49.93486404418945,49.83329772949219,49.92413520812988
71,71,71,1763579368.470266,1763579368.4204328,-49.83329772949219,49.930572509765625,49.93486404418945
72,72,72,1763579368.5201967,1763579368.470266,-49.930572509765625,50.04143714904785,49.83329772949219
73,73,73,1763579368.570238,1763579368.5201967,-50.04143714904785,50.000905990600586,49.930572509765625
74,74,74,1763579368.620239,1763579368.570238,-50.000905990600586,49.97134208679199,50.04143714904785
75,75,75,1763579368.6702104,1763579368.620239,-49.97134208679199,49.94058609008789,50.000905990600586
76,76,76,1763579368.720151,1763579368.6702104,-49.94058609008789,50.07791519165039,49.97134208679199
77,77,77,1763579368.7702289,1763579368.720151,-50.07791519165039,50.11463165283203,49.94058609008789
78,78,78,1763579368.8203435,1763579368.7702289,-50.11463165283203,50.28176307678223,50.07791519165039
79,79,79,1763579368.8706253,1763579368.8203435,-50.28176307678223,50.0640869140625,50.11463165283203
